Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index,Word Count,Syllable Count Per Word,Personal Pronouns,Average Word Length,URL_ID
32,8,0.5999999850000004,0.085106382797646,23.5,0.6404255319148936,9.656170212765957,470,2.972340425531915,2,7.919148936170213,bctech2011
2,0,0.99999950000025,0.03448275802615935,19.333333333333332,0.5172413793103449,7.940229885057471,58,2.896551724137931,1,8.689655172413794,bctech2012
2,0,0.99999950000025,0.03389830451019823,19.666666666666668,0.576271186440678,8.09717514124294,59,2.9491525423728815,1,8.661016949152541,bctech2013
2,0,0.99999950000025,0.03389830451019823,19.666666666666668,0.576271186440678,8.09717514124294,59,3.0,1,8.661016949152541,bctech2014
3,0,0.9999996666667778,0.050847456765297346,19.666666666666668,0.5932203389830508,8.103954802259889,59,2.9661016949152543,1,8.813559322033898,bctech2015
2,0,0.99999950000025,0.035087718682671604,19.0,0.5964912280701754,7.838596491228071,57,2.9473684210526314,1,8.736842105263158,bctech2016
2,0,0.99999950000025,0.03389830451019823,19.666666666666668,0.5932203389830508,8.103954802259889,59,2.9322033898305087,1,8.491525423728813,bctech2017
1,0,0.9999990000010001,0.016949152255099114,19.666666666666668,0.559322033898305,8.09039548022599,59,2.983050847457627,1,8.677966101694915,bctech2018
1,0,0.9999990000010001,0.0149253729115616,22.333333333333332,0.5970149253731343,9.172139303482586,67,3.1044776119402986,1,8.671641791044776,bctech2019
2,0,0.99999950000025,0.03333333277777779,20.0,0.6,8.24,60,3.1333333333333333,1,9.233333333333333,bctech2020
3,0,0.9999996666667778,0.04838709599375652,20.666666666666668,0.6129032258064516,8.511827956989249,62,3.0,1,8.67741935483871,bctech2021
17,4,0.6190475895691624,0.05785123951005168,10.676470588235293,0.4986225895316804,4.470037271106789,363,2.9807162534435263,1,8.550964187327823,bctech2022
16,3,0.684210490304711,0.07916666633680555,14.117647058823529,0.5375,5.862058823529412,240,2.9625,5,7.975,bctech2023
4,3,0.1428571224489825,0.049999999642857146,17.5,0.4928571428571429,7.1971428571428575,140,2.7785714285714285,2,7.992857142857143,bctech2024
17,4,0.6190475895691624,0.06287425130875973,10.774193548387096,0.5598802395209581,4.533629515163222,334,2.904191616766467,19,7.5359281437125745,bctech2025
30,3,0.8181817933884306,0.10855263122186634,13.818181818181818,0.5032894736842105,5.728588516746412,304,2.825657894736842,8,7.921052631578948,bctech2026
17,2,0.7894736426592819,0.0683453234951607,12.636363636363637,0.4712230215827338,5.243034663178548,278,2.658273381294964,4,7.474820143884892,bctech2027
21,8,0.4482758466111777,0.07837837816654493,11.935483870967742,0.518918918918919,4.981761115954665,370,2.9513513513513514,1,7.837837837837838,bctech2028
30,8,0.578947353185596,0.12337662297604993,12.833333333333334,0.5584415584415584,5.356709956709957,308,2.970779220779221,16,8.185064935064934,bctech2029
23,12,0.3142857053061227,0.09943181789934143,11.35483870967742,0.48579545454545453,4.7362536656891505,352,2.8068181818181817,5,7.627840909090909,bctech2030
21,3,0.7499999687500013,0.0592592591129401,12.65625,0.5135802469135803,5.267932098765432,405,2.8518518518518516,10,8.012345679012345,bctech2031
2,0,0.99999950000025,0.01351351342220599,16.444444444444443,0.4527027027027027,6.758858858858858,148,2.304054054054054,4,6.79054054054054,bctech2032
9,7,0.12499999218750048,0.06201550363559882,11.217391304347826,0.6124031007751938,4.731917762049208,258,3.0697674418604652,2,8.36046511627907,bctech2033
20,0,0.9999999500000024,0.09708737816947875,13.733333333333333,0.5436893203883495,5.710809061488673,206,2.8009708737864076,1,7.737864077669903,bctech2034
13,6,0.36842103324099823,0.07392996080182895,11.173913043478262,0.5369649805447471,4.684351209609203,257,2.8287937743190663,5,7.357976653696498,bctech2035
19,11,0.26666665777777804,0.08746355659631616,9.026315789473685,0.5014577259475219,3.8111094061684825,343,2.7842565597667637,1,7.26530612244898,bctech2036
17,15,0.06249999804687507,0.07048458134254497,18.16,0.41409691629955947,7.429638766519824,454,2.44273127753304,10,6.572687224669603,bctech2037
7,1,0.7499999062500118,0.05298013209946933,11.615384615384615,0.3443708609271523,4.7839021905247066,151,2.642384105960265,7,7.735099337748345,bctech2038
4,1,0.599999880000024,0.039370078430156864,10.583333333333334,0.3937007874015748,4.390813648293963,127,2.377952755905512,5,6.84251968503937,bctech2039
3,1,0.49999987500003124,0.03418803389582877,58.5,0.46153846153846156,23.584615384615386,117,2.4017094017094016,5,7.119658119658119,bctech2040
3,1,0.49999987500003124,0.08695651984877131,23.0,0.4782608695652174,9.391304347826088,46,2.5434782608695654,1,7.304347826086956,bctech2041
3,1,0.49999987500003124,0.04494381971973237,29.666666666666668,0.449438202247191,12.046441947565544,89,2.595505617977528,4,6.764044943820225,bctech2042
4,1,0.599999880000024,0.033557046754650696,49.666666666666664,0.31543624161073824,19.992841163310963,149,2.2013422818791946,1,6.100671140939597,bctech2043
8,2,0.599999940000006,0.043859648930440136,9.12,0.5,3.848,228,3.3421052631578947,6,10.013157894736842,bctech2044
4,1,0.599999880000024,0.0340136052107918,12.25,0.3741496598639456,5.049659863945578,147,2.6530612244897958,3,7.496598639455782,bctech2045
3,1,0.49999987500003124,0.0399999996,11.11111111111111,0.37,4.592444444444444,100,2.64,3,7.35,bctech2046
5,2,0.4285713673469475,0.047619047295108526,29.4,0.5238095238095238,11.96952380952381,147,2.63265306122449,1,7.1020408163265305,bctech2047
4,2,0.33333327777778704,0.052173912589792065,19.166666666666668,0.3652173913043478,7.8127536231884065,115,2.4,2,6.791304347826087,bctech2048
7,4,0.2727272479338866,0.05188679220808117,14.133333333333333,0.4858490566037736,5.8476729559748435,212,2.6650943396226414,9,6.971698113207547,bctech2049
6,2,0.4999999375000079,0.055944055552838774,14.3,0.5104895104895105,5.924195804195804,143,2.825174825174825,2,7.335664335664336,bctech2050
10,2,0.6666666111111158,0.06217616548095251,21.444444444444443,0.48704663212435234,8.77259643062752,193,2.699481865284974,2,7.357512953367876,bctech2051
10,1,0.8181817438016598,0.0866141725463451,11.545454545454545,0.4251968503937008,4.7882605583392985,127,2.409448818897638,4,6.519685039370079,bctech2052
4,1,0.599999880000024,0.03289473662569252,13.818181818181818,0.5,5.7272727272727275,152,3.0592105263157894,9,8.697368421052632,bctech2053
11,4,0.46666663555555765,0.0862068960562822,7.565217391304348,0.40804597701149425,3.189305347326337,174,2.310344827586207,16,6.333333333333333,bctech2054
15,8,0.3043478128544429,0.11219512140392623,7.884615384615385,0.4585365853658537,3.337260787992496,205,2.419512195121951,6,6.658536585365853,bctech2055
4,4,0.0,0.03738317739540571,9.727272727272727,0.42990654205607476,4.062871707731521,214,2.546728971962617,5,7.018691588785047,bctech2056
4,2,0.33333327777778704,0.039735099074601994,16.77777777777778,0.47019867549668876,6.899190581309788,151,2.5298013245033113,1,6.960264900662252,bctech2057
3,1,0.49999987500003124,0.053333332622222236,37.5,0.5066666666666667,15.202666666666667,75,2.7333333333333334,1,7.88,bctech2058
4,3,0.1428571224489825,0.11666666472222226,12.0,0.4666666666666667,4.986666666666667,60,3.1333333333333333,2,8.95,bctech2059
4,1,0.599999880000024,0.06493506409175241,19.25,0.4805194805194805,7.892207792207792,77,2.5584415584415585,1,7.025974025974026,bctech2060
6,2,0.4999999375000079,0.05882352897923876,17.0,0.5294117647058824,7.011764705882354,136,2.6544117647058822,1,7.352941176470588,bctech2061
11,1,0.8333332638888947,0.06896551684502576,12.428571428571429,0.3735632183908046,5.120853858784894,174,2.3448275862068964,10,6.367816091954023,bctech2062
3,2,0.199999960000008,0.06249999921875001,13.333333333333334,0.4375,5.508333333333334,80,2.5875,1,7.1,bctech2063
3,4,-0.1428571224489825,0.03888888867283951,9.0,0.5,3.8000000000000003,180,2.6777777777777776,8,7.111111111111111,bctech2064
8,3,0.4545454132231443,0.050458715364868276,16.76923076923077,0.37155963302752293,6.856316160903318,218,2.3486238532110093,4,6.848623853211009,bctech2065
10,8,0.11111110493827195,0.14634146222486616,17.571428571428573,0.4715447154471545,7.217189314750292,123,2.731707317073171,3,7.1138211382113825,bctech2066
12,4,0.4999999687500019,0.08421052587257619,13.571428571428571,0.39473684210526316,5.586466165413534,190,2.431578947368421,12,6.994736842105263,bctech2067
11,5,0.37499997656250145,0.07582938352687496,9.590909090909092,0.43601895734597157,4.0107712193020255,211,2.7014218009478674,9,7.090047393364929,bctech2068
5,5,0.0,0.09708737769818081,10.3,0.5533980582524272,4.341359223300971,103,2.8058252427184467,1,7.407766990291262,bctech2069
4,1,0.599999880000024,0.08196721177102932,12.2,0.4098360655737705,5.043934426229509,61,2.622950819672131,2,7.19672131147541,bctech2070
4,4,0.0,0.11111110956790125,14.4,0.4444444444444444,5.937777777777779,72,2.6944444444444446,1,7.347222222222222,bctech2071
6,4,0.19999998000000202,0.12987012818350482,11.0,0.4935064935064935,4.597402597402598,77,2.779220779220779,3,7.6103896103896105,bctech2072
5,1,0.6666665555555741,0.08571428448979594,14.0,0.5,5.800000000000001,70,2.8,2,7.585714285714285,bctech2073
4,8,-0.3333333055555579,0.11650485323781697,9.363636363636363,0.5631067961165048,3.9706972639011475,103,2.8737864077669903,4,7.485436893203883,bctech2074
11,1,0.8333332638888947,0.07100591673960996,9.941176470588236,0.42011834319526625,4.144517925513401,169,2.603550295857988,8,7.295857988165681,bctech2075
10,4,0.42857139795918586,0.07179487142669297,10.263157894736842,0.517948717948718,4.312442645074224,195,2.8,12,7.835897435897436,bctech2076
6,5,0.09090908264462885,0.050458715364868276,12.823529411764707,0.45871559633027525,5.3128980032379935,218,2.5642201834862384,10,6.729357798165138,bctech2077
20,13,0.21212120569329682,0.131999999472,10.416666666666666,0.352,4.3074666666666666,250,2.456,11,6.756,bctech2078
7,1,0.7499999062500118,0.0380952379138322,11.052631578947368,0.5523809523809524,4.642005012531328,210,2.8857142857142857,14,7.347619047619047,bctech2079
9,0,0.9999998888889013,0.05027932932804844,16.272727272727273,0.4581005586592179,6.692331132554597,179,2.553072625698324,6,6.988826815642458,bctech2080
24,4,0.7142856887755111,0.0632054174645476,13.029411764705882,0.5011286681715575,5.412216173150976,443,2.7178329571106095,6,7.331828442437923,bctech2081
4,1,0.599999880000024,0.040983606221445854,30.5,0.4016393442622951,12.360655737704919,122,2.6557377049180326,2,7.229508196721311,bctech2082
5,0,0.99999980000004,0.026315789335180056,11.875,0.4631578947368421,4.935263157894737,190,2.626315789473684,1,7.226315789473684,bctech2083
